timestamp,user_ip,file_count,data_volume_mb,device_id,total_files_on_usb,label,action_no
1724228094,225222000000.0,6,923.02,47,26331,1,0.0
1717121968,19216896188.0,6,374.68,50,40210,1,0.0
1724355340,192168000000.0,10,553.89,77,36813,1,0.0
1727886057,19216810141.0,4,142.56,63,41875,0,0.0
1722109278,192168000000.0,6,235.51,48,5910,1,0.5
1714342582,1842920088.0,10,735.44,73,25481,1,0.0
1703261979,1921686170.0,6,50206.72,11,10530,1,0.0
1727763320,19216819432.0,14,122.88,72,19302,1,0.0
1715613676,1921680182.0,6,395.65,82,19344,0,0.0
1727329388,19216810928.0,9,165.24,1,14553,1,0.0
1730238201,19216821916.0,6,805.72,56,5565,1,0.0
1725008918,248108000000.0,12,922.71,67,6723,1,0.5
1710656009,192168000000.0,1,242.92,9,28473,1,0.0
1722277177,19216859202.0,5,16476.16,73,43444,1,0.0
1711554340,19216814961.0,3,533.2,78,11184,0,0.0
1722328375,19216864104.0,4,8130.56,59,43528,1,0.0
1708432342,19216855.0,6,612.22,64,35949,0,0.5
1706008995,114140139.0,9,853.92,70,12639,1,0.5
1714980857,8622455196.0,5,633.58,27,45031,1,1.0
1719571597,11820210699.0,3,462.69,60,41520,1,0.0
1705548863,1913668101.0,6,22691.84,22,24804,1,0.5
1707047367,205816111.0,6,88.45,85,38558,1,0.0
1704372259,19216824960.0,6,936.03,28,27875,0,0.0
1710207841,19216813214.0,7,449.72,33,9092,1,0.0
1701130845,192168000000.0,9,909.02,29,35811,1,0.0
1716991926,192168000000.0,7,939.56,41,2640,1,0.0
1702290242,19216844107.0,5,482.96,14,4184,0,0.0
1710812123,19216814864.0,6,864.03,90,11160,1,0.0
1706692279,192168000000.0,6,960.04,55,42154,0,0.5
1731377054,19216851213.0,4,480.65,74,8203,1,0.0
1710723469,1921687168.0,8,690.34,98,18870,1,0.0
1710333138,19216811964.0,6,115.93,99,26363,0,0.0
1706770556,13322217171.0,6,358.35,52,41983,1,0.0
1711669980,192168000000.0,7,492.18,11,8963,1,0.0
1707141280,192168000000.0,8,714.17,67,27548,1,0.5
1729723723,1921681086.0,5,353.51,98,1268,1,0.5
1714265213,1921682541.0,4,452.33,74,24118,1,0.0
1722526045,192168282.0,7,832.06,75,36741,1,0.5
1731035761,1921685467.0,5,763.66,93,19215,1,0.0
1727694256,244636619.0,8,596.32,85,27046,1,0.0
1713676127,19216819467.0,9,573.71,54,8159,1,0.0
1721080415,1921681228.0,6,382.57,21,24442,1,0.0
1717889360,72219128249.0,5,639.39,94,22778,1,0.0
1706175071,227491739.0,2,458.55,10,26366,1,0.0
1719759060,192168000000.0,10,709.11,42,23610,1,0.5
1728609496,192168000000.0,5,41.42,89,9904,1,0.0
1729667989,19216852156.0,9,996.36,35,16474,1,0.0
1728846305,119161000000.0,9,0.72,94,42671,1,0.0
1726047386,1921685264.0,3,380.71,3,13986,0,0.0
1703455878,1251288104.0,9,82677.76,84,37761,1,0.0
1726721492,80245201249.0,5,867.41,87,39231,1,0.0
1703690536,19216813185.0,8,712.41,1,36413,1,0.0
1728779958,192168000000.0,9,521.63,66,2169,1,0.0
1723304426,192168000000.0,6,290.51,20,36721,1,0.5
1711986504,192168000000.0,9,429.71,69,36147,1,0.0
1724445619,192168000000.0,7,921.49,38,12516,1,0.0
1716373541,192168000000.0,4,817.22,30,38317,0,0.0
1721221370,192168000000.0,5,279.66,80,6360,0,0.0
1721190365,19615248171.0,7,99.92,3,2676,1,0.0
1704412847,23516194247.0,3,811.38,47,34264,1,0.5
1716961171,359019462.0,9,287.25,56,35263,1,0.0
1712211611,1921681890.0,4,307.31,94,24997,1,0.0
1702493179,1921685770.0,6,904.39,49,13888,1,0.0
1717872854,192168000000.0,6,828.6,46,25842,1,0.5
1719630371,19216816446.0,4,320.04,62,47145,1,0.5
1720550389,192168926.0,1,683.1,11,37816,1,0.0
1729591037,19216811200.0,8,513.61,52,18367,1,0.5
1712419856,1921686647.0,6,195.17,86,26419,1,0.5
1716386397,158456990.0,8,733.8,96,29964,1,0.0
1721861224,19216837227.0,9,470.3,94,43760,1,0.0
1703697485,19216847251.0,7,81.1,37,31549,1,0.0
1713866910,19216810222.0,4,128.03,70,7060,0,0.0
1722802601,1921688203.0,8,352.05,93,20374,1,0.0
1714507344,19216820630.0,11,75.6,18,30613,1,0.5
1707425476,19216815673.0,7,951.77,83,42535,1,0.5
1714214767,61179118147.0,5,200.84,11,45655,1,0.5
1702898418,19216889249.0,6,533.25,26,37772,0,0.0
1705182789,20622620859.0,5,30873.6,66,1530,1,0.0
1711973587,19216823729.0,5,546.86,85,23698,0,0.5
1727966729,192168000000.0,7,785.57,33,1961,1,1.0
1724054565,19216824622.0,3,302.71,90,23911,0,0.0
1731193507,192168000000.0,5,868.88,12,14229,1,0.0
1715118751,1921685255.0,8,290.18,68,8115,1,0.0
1720110119,192168000000.0,6,85.91,93,14596,0,0.0
1721714903,19216851208.0,10,36884.48,36,24783,1,0.0
1723362725,192168000000.0,5,576.0,33,35656,1,0.0
1723219415,291217624.0,4,823.42,76,37128,1,0.0
1701299326,192168000000.0,10,793.6,72,39391,1,0.0
1704612192,192168000000.0,7,80220.16,97,36525,1,0.5
1728288819,1921683210.0,5,820.32,15,11896,0,0.0
1708308859,19216810878.0,3,624.6,50,48251,1,0.5
1720104141,19216843225.0,8,6.57,65,22789,1,0.0
1709612867,192168000000.0,11,24811.52,65,49824,1,0.0
1720463211,192168000000.0,9,490.89,84,4297,1,0.0
1719076447,19216839233.0,7,13158.4,29,15336,1,0.5
1721574021,192168000000.0,6,986.75,71,28981,1,0.0
1718851503,192168000000.0,7,648.06,38,25162,1,0.0
1704074752,19216845194.0,5,83793.92,37,15707,1,0.0
1727777712,19216820332.0,4,1.06,99,38598,0,0.0
1712001129,192168000000.0,7,65116.16,32,20066,1,0.0
1701592175,192168000000.0,5,461.76,74,20951,1,0.5
1703906680,192168000000.0,5,158.32,55,45850,1,0.0
1723401117,19216825156.0,6,166.34,100,29206,1,0.0
1727505050,19216865206.0,4,766.8,8,30652,1,0.0
1702034783,192168000000.0,7,574.08,1,41928,1,0.0
1722578889,82140228138.0,3,587.26,59,19496,1,0.5
1704394102,6021417257.0,7,654.3,48,2163,1,0.0
1726216561,41120154216.0,4,595.84,14,17551,1,0.0
1723071886,192168000000.0,9,265.54,31,32558,1,0.0
1725612019,10519175205.0,5,179.17,93,16785,1,0.5
1703731728,19216816765.0,6,237.87,55,4105,1,0.5
1703658198,192168000000.0,6,657.24,65,45760,1,0.5
1704522169,1921686957.0,5,556.3,26,42866,1,0.0
1723321915,7820769129.0,8,23521.28,97,315,1,0.0
1719572346,192168000000.0,6,44.19,6,42547,0,0.0
1724528477,19216888129.0,3,84049.92,73,4637,1,0.5
1716633629,19216815579.0,9,756.29,99,25498,1,0.0
1712029838,39138107218.0,3,41758.72,94,33465,1,0.5
1702312650,192168000000.0,10,25282.56,60,46205,1,0.0
1731998526,23716654242.0,9,213.91,67,3505,1,0.5
1723885232,192168000000.0,5,327.53,18,14686,1,0.0
1706200526,140253000000.0,5,596.9,10,17103,1,0.0
1719230178,19216818314.0,6,502.3,17,32542,0,0.0
1701076474,19216823050.0,7,11243.52,42,8131,1,0.5
1711816168,19216822074.0,6,944.87,23,21188,1,0.5
1707583658,192168000000.0,8,75765.76,45,28642,1,0.5
1729459193,19216828230.0,5,3809.28,62,30641,1,1.0
1719309090,1921683148.0,5,89.26,65,17724,0,0.5
1715644045,2421218174.0,10,672.43,80,24212,1,0.5
1720035625,1495225231.0,9,33894.4,36,5699,1,0.0
1724744825,19216899202.0,4,510.35,9,16288,1,0.0
1727945440,192168000000.0,5,464.32,7,35597,0,0.0
1713746732,25371138102.0,4,617.74,15,19005,1,0.0
1716188308,19216892.0,3,135.34,63,35235,1,0.0
1717057778,1921682192.0,6,884.85,82,23938,0,0.0
1702764585,1731111333.0,5,197.05,70,41049,1,0.0
1711527236,19216835162.0,7,676.75,15,13619,1,1.0
1705807940,1921681944.0,4,186.11,39,38791,1,0.0
1725274050,21524311100.0,6,32245.76,100,27514,1,0.0
1719914524,2364173222.0,5,28057.6,35,22068,1,0.0
1717056934,19216813278.0,7,424.71,50,1702,1,0.0
1720036491,192168000000.0,3,234.71,50,41213,1,0.0
1730676616,1098353181.0,3,626.49,54,4151,1,0.0
1712364187,19216813189.0,7,558.22,56,26661,1,0.0
1728919242,19216832163.0,10,621.51,98,12073,1,0.0
1704880829,19216815882.0,7,380.28,72,20399,1,0.0
1717040936,19216838147.0,3,17643.52,2,46506,1,1.0
1728036714,192168000000.0,5,871.63,95,44714,0,0.0
1727272425,19216824174.0,11,553.41,12,22010,1,0.0
1718800813,192168000000.0,7,718.71,47,11070,1,0.0
1712937539,151191000000.0,6,842.21,75,12851,1,0.5
1708157634,1921682038.0,3,282.98,10,40415,1,0.0
1705573073,192168923.0,5,517.43,41,20301,0,0.0
1716621464,19216822933.0,7,254.15,90,27615,1,0.0
1728063544,15665103100.0,3,450.15,26,32018,1,0.0
1721552095,19216876212.0,5,626.47,81,21309,1,0.0
1721947513,2216393179.0,5,395.12,6,45376,1,0.0
1709015494,19216821457.0,8,355.79,73,44157,1,0.5
1714099972,19216893187.0,6,292.41,64,29845,1,0.0
1724049741,192168000000.0,8,6.6,23,36085,1,0.5
1721406985,19216817212.0,6,54118.4,42,25973,1,0.0
1706543479,19216810046.0,5,636.13,28,3995,0,0.5
1719926396,19216822147.0,6,169.55,42,24291,0,0.0
1729184964,19216849146.0,8,34.11,22,35895,1,0.0
1715909218,17917686239.0,5,949.32,47,21022,1,0.0
1701518724,1921686177.0,5,525.78,61,8201,1,0.0
1711364358,15019212256.0,6,38.59,86,5186,1,0.0
1713749584,192168104.0,8,257.77,71,20522,1,1.0
1710937199,192168000000.0,5,330.46,1,26983,0,0.0
1723205924,192168000000.0,6,985.32,86,47427,0,0.0
1713794466,19216815777.0,9,342.7,46,49946,1,0.0
1713824422,19216816289.0,4,150.5,7,38775,1,0.0
1729330043,19216810162.0,5,17612.8,92,40701,1,0.0
1707942040,19216850101.0,6,11622.4,10,1450,1,0.0
1723972000,192168000000.0,5,378.79,4,10822,1,0.5
1727090735,19216857152.0,9,668.98,82,42374,1,0.0
1707934216,19216888211.0,13,728.17,32,5096,1,0.5
1706916284,192168000000.0,4,34703.36,40,19506,1,0.0
1731555370,1921681615.0,5,276.49,85,41982,1,0.5
1725362864,19216895176.0,6,965.85,11,7542,0,0.5
1707537915,65227253233.0,7,584.38,41,27096,1,0.0
1709538507,192168000000.0,3,650.89,24,6849,1,0.0
1708915229,19216887191.0,3,613.42,51,17131,1,0.5
1728210030,192168000000.0,3,693.84,91,5826,1,0.0
1728544084,19216848176.0,6,68198.4,51,10670,1,0.0
1701797088,19216893242.0,4,597.42,45,49620,0,0.5
1723097601,192168000000.0,9,841.27,68,25983,1,0.0
1716480392,15220094101.0,9,26.23,30,8466,1,0.0
1729461138,192168000000.0,6,587.48,80,36926,1,0.0
1708998869,192168000000.0,6,4.98,90,41668,1,1.0
1704358558,192168000000.0,6,544.05,65,26043,0,0.5
1704283905,192168000000.0,8,104.77,9,42874,1,0.0
1701901861,19216883123.0,9,47472.64,42,31445,1,0.5
1706681727,1921684024.0,3,558.17,34,45710,1,0.0
1729026182,192168000000.0,7,1.49,7,39497,1,0.5
1731542072,1681578157.0,3,780.23,10,43721,1,0.0
1713289096,19216842165.0,5,643.44,16,20004,0,0.0
1718778254,19216866114.0,4,589.57,89,8372,1,0.5
1704371504,19216858213.0,10,848.08,17,35770,1,0.0
1724869452,192168112.0,5,71249.92,42,38293,1,0.5
1710629573,242350214.0,5,694.04,2,29634,1,0.5
1724020910,582193218.0,8,611.58,2,34822,1,0.5
1729663809,665023026.0,10,94423.04,53,8131,1,0.0
1722998248,1921688728.0,5,496.05,19,27626,1,0.0
1703986524,219146000000.0,8,414.44,92,24567,1,0.0
1732316052,19216827143.0,8,416.8,80,27663,1,0.0
1722378999,167243000000.0,1,64.77,24,47748,1,0.0
1724511677,20815425031.0,2,690.76,36,33357,1,0.0
1701071075,19216840157.0,2,875.98,82,26238,1,0.5
1731807563,19216859204.0,6,101580.8,67,2892,1,0.5
1715771598,192168000000.0,9,23900.16,43,21955,1,0.5
1729250527,192168000000.0,6,8.67,59,39207,0,0.0
1703566938,2522731134.0,4,731.0,21,8736,1,0.0
1717914262,19216824210.0,6,230.72,21,21056,1,0.0
1719380263,192168000000.0,7,606.92,75,17212,1,0.0
1715671485,1921681516.0,2,813.55,52,3718,1,0.5
1730220733,192168000000.0,6,799.77,61,29722,0,0.0
1730587853,19216846218.0,6,593.59,96,44475,1,0.0
1711539189,19216822084.0,3,603.93,99,28485,0,0.0
1709333951,19216823527.0,4,432.87,53,27526,1,0.5
1703036511,19216837197.0,7,965.28,54,17179,1,0.0
1702228972,181221303.0,6,892.13,22,40037,1,0.0
1718347041,192168000000.0,5,34570.24,29,12277,1,0.0
